Contributor,Amt,Contr. Date,Recipient,Report,Sched,Office,Dist
"IUOE LOCAL 17 5959 VERSAILLES ROAD LAKEVIEW, NY 14085",500.00,30-OCT-06,FRIENDS OF MIKE LOCURTO,2006 27 Post General,C,City Council,N/A
"IUOE LOCAL 17 5959 VERSAILLES ROAD LAKEVIEW, NY 14085",150.00,05-SEP-07,FRIENDS OF MIKE LOCURTO,2007 10 Post Primary,C,City Council,N/A
"IUOE LOCAL 17 5959 VERSAILLES LAKEVIEW, NY 14085",250.00,19-JUL-12,FRIENDS OF MIKE LOCURTO,2013 January Periodic,C,City Council,N/A
"JIMMY'S SHOE REPAIR 1530 HERTER AVE BUFFALO, NY 14216",100.00,26-APR-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,B,City Council,N/A
"LA NOVA PIZZERIA 371 WEST FERRY BUFFALO, NY 14203",250.00,25-JAN-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,B,City Council,N/A
"LA NOVA WINGS INC 371 WEST FERRY STREET BUFFALO, NY 14213",250.00,31-JUL-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,B,City Council,N/A
"LA NOVE 371 WEST FERRY BUFFALO, NY 14213",200.00,24-APR-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,B,City Council,N/A
"LABORERS LOCAL 91 2556 SENECA AVENUE NIAGARA FALLS, NY 14305",250.00,26-APR-07,FRIENDS OF MIKE LOCURTO,2007 July Periodic,C,City Council,N/A
"LABORERS LOCAL NO. 91 PAC 2556 SENECA STREET BUFFALO, NY 14205",396.00,24-APR-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,C,City Council,N/A
"LABORERS LOCAL NO. 91 PAF 2556 SENECA STREET NIAGARA FALLS, NY 14305",150.00,22-MAY-08,FRIENDS OF MIKE LOCURTO,2008 July Periodic,C,City Council,N/A
"LIPSITZ &GREEN 42 DELAWARE AVENUE BUFFALO, NY 14202",500.00,24-APR-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,A,City Council,N/A
"LOBORERWS LOCAL 91 PAC 2556 SENECA AVENUE NIAGRA FALLS, NY 14305",500.00,23-OCT-06,FRIENDS OF MIKE LOCURTO,2006 27 Post General,C,City Council,N/A
"LOCAL 1122 AFL CIO 3775 GENESEE ST BUFFALO, NY 14225",99.00,15-AUG-10,FRIENDS OF MIKE LOCURTO,2011 January Periodic,C,City Council,N/A
"LOCAL 41 IBEW 53546 CALIFORNI ORCHARD PARK, NY 14127",396.00,10-APR-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,C,City Council,N/A
"LOCAL 41 IBEW CALIFORNIA ROAD ORCHARD PARK, NY 14127",100.00,20-NOV-07,FRIENDS OF MIKE LOCURTO,2007 27 Post General,C,City Council,N/A
"LOCAL 41 IBEW PAC S3546 CALIFORNIA ROAD ORCHARD PARK, NY 14127",300.00,27-JUL-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,C,City Council,N/A
"LOCAL 41 IBEW PAC S-3546 CALIFORNIA ROAD BUFFALO, NY 14127",300.00,04-DEC-09,FRIENDS OF MIKE LOCURTO,2010 January Periodic,C,City Council,N/A
"LOCAL 41 IBEW PAC 3546 CALIFORNIA ORCHARD PARK, NY 14127",250.00,12-APR-12,FRIENDS OF MIKE LOCURTO,2012 July Periodic,B,City Council,N/A
"LUH CONSULTING 77 LEE STREET DEPEW, NY 14043",50.00,02-NOV-07,FRIENDS OF MIKE LOCURTO,2007 27 Post General,B,City Council,N/A
"MAHAWK GROUP LIMITED 295 MAIN STREET BUFFALO, NY 14203",100.00,03-SEP-07,FRIENDS OF MIKE LOCURTO,2007 10 Post Primary,B,City Council,N/A
"MARC A COPOLA FOR STATE SENATE 335 COMMONWEALTH BUFFALO, NY 14216",200.00,28-OCT-06,FRIENDS OF MIKE LOCURTO,2006 27 Post General,C,City Council,N/A
"MARK A COPPOLA FOR STATE SENATE 335 COMMONWEALTH AVENUE BUFFALO, NY 14216",50.00,14-JUL-10,FRIENDS OF MIKE LOCURTO,2011 January Periodic,C,City Council,N/A
"MARK CERRONE IN. PO BOX 3009 NF, NY 14304",198.00,18-APR-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,B,City Council,N/A
"MARK CERRONE INC PO BOX 3009 NF, NY 14304",100.00,01-AUG-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,B,City Council,N/A
"MARK CERRONE, INC PO BOX 3009 NIAGARA FALLS, NY 14304",250.00,25-JAN-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,B,City Council,N/A
"MARK CERRONE, INC PO BOX 3009 NIAGARA FALLS, NY 14304",100.00,27-APR-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,B,City Council,N/A
"MICHAEL CLAABRESE, PHYSICIAN PC 656 ELMWOOD AVENUE BUFFALO, NY 14222",200.00,19-JUL-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,B,City Council,N/A
"MICHIGAN/SENECA GROUP 295 MAIN STREET BUFFALO, NY 14203",100.00,03-SEP-07,FRIENDS OF MIKE LOCURTO,2007 10 Post Primary,B,City Council,N/A
"NEW YORK, MASSACHUSETTS AND RHODE ISLAND STATE CON 165 DIVISION STREET N TONAWANDA, NY 14120",250.00,24-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,C,City Council,N/A
"NIAGARA COUNTGY BLDG TRADES 198 TIM TAM TRAIL WEST SENECA, NY 14224",297.00,18-APR-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,C,City Council,N/A
"NIAGARA COUNTY BUILDING TRADES 198 TIM TAM TER WEST SENECA, NY 14224",250.00,17-JUL-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,C,City Council,N/A
